,gender,parental level of education,lunch,test preparation course,math score,reading score,writing score
764,female,1,standard,none,62,76,67
866,male,4,standard,none,79,57,58
208,female,2,standard,none,77,86,84
337,female,0,free/reduced,none,45,46,49
323,male,3,standard,completed,82,83,85
84,female,3,free/reduced,none,32,41,39
836,female,1,free/reduced,completed,53,70,65
90,male,2,free/reduced,none,57,47,42
37,male,0,free/reduced,none,67,65,54
91,male,1,standard,none,74,71,70
592,female,0,standard,none,63,73,66
712,male,3,free/reduced,completed,49,37,41
499,male,3,standard,completed,89,84,81
166,male,4,standard,none,66,64,58
987,male,2,standard,completed,78,78,74
554,male,3,free/reduced,completed,72,76,73
60,male,2,free/reduced,none,76,66,68
828,male,1,standard,completed,97,80,88
841,female,3,free/reduced,none,72,73,70
44,male,0,standard,none,100,88,87
517,male,0,standard,none,49,36,32
101,male,2,standard,completed,75,78,79
241,male,3,standard,completed,76,76,83
808,female,5,free/reduced,none,65,88,84
493,female,1,standard,none,75,76,76
706,female,4,standard,none,89,100,100
206,female,5,standard,completed,74,78,84
948,male,1,free/reduced,completed,49,50,45
56,female,4,standard,completed,67,80,84
340,female,1,standard,none,60,61,58
129,female,3,free/reduced,completed,83,95,100
336,male,2,free/reduced,none,43,68,58
319,male,2,standard,none,83,85,79
57,male,3,standard,completed,88,87,83
664,female,1,standard,none,71,77,79
518,male,3,free/reduced,completed,80,82,82
558,female,4,standard,none,65,73,81
17,female,3,standard,completed,54,62,65
216,female,3,standard,none,53,72,66
346,female,5,standard,none,79,79,87
767,female,2,standard,none,72,83,83
466,female,2,free/reduced,completed,74,85,82
253,female,3,standard,none,60,76,65
433,female,2,standard,completed,78,85,93
550,female,2,standard,completed,100,100,100
717,male,0,free/reduced,none,48,43,41
377,male,2,free/reduced,none,49,54,42
946,female,0,standard,completed,57,62,73
119,female,1,standard,completed,76,90,87
918,male,1,standard,none,72,68,67
705,male,3,free/reduced,none,70,62,66
872,female,0,free/reduced,completed,70,84,83
370,male,1,standard,completed,84,72,76
287,male,2,standard,none,55,48,42
593,male,4,standard,completed,100,97,100
306,male,0,standard,none,66,61,63
134,male,2,standard,none,55,54,54
47,female,1,standard,completed,65,76,78
118,male,4,free/reduced,none,59,70,58
561,female,0,standard,none,60,62,60
927,male,4,free/reduced,completed,61,71,65
178,female,2,free/reduced,completed,83,93,95
326,male,3,free/reduced,completed,76,80,78
623,male,3,free/reduced,completed,69,84,82
813,male,2,standard,none,70,64,62
393,male,2,free/reduced,none,67,58,56
26,female,1,standard,none,53,60,56
963,female,1,standard,completed,63,61,71
940,male,3,free/reduced,completed,92,79,77
463,female,4,free/reduced,none,69,73,71
989,male,2,standard,completed,70,60,65
613,male,0,free/reduced,completed,83,78,82
988,female,2,standard,none,75,76,81
990,male,2,standard,none,67,55,53
762,male,5,standard,none,57,59,53
177,male,1,free/reduced,none,55,53,51
929,female,5,standard,none,65,74,79
559,male,0,free/reduced,none,56,48,36
577,male,5,standard,none,68,60,62
942,female,0,standard,completed,81,79,83
230,female,0,standard,none,75,90,78
857,female,5,standard,none,85,100,97
502,male,3,standard,none,71,57,59
724,male,0,free/reduced,completed,60,62,57
302,male,0,free/reduced,none,55,62,49
681,male,1,free/reduced,completed,41,52,47
298,male,0,standard,none,69,58,50
52,female,3,standard,none,74,81,85
31,male,4,free/reduced,none,78,74,73
344,male,0,standard,completed,80,80,79
313,male,2,standard,completed,87,78,80
40,female,5,free/reduced,none,54,75,72
579,female,0,free/reduced,none,47,49,50
411,female,4,free/reduced,none,62,75,72
276,female,0,free/reduced,none,58,72,70
352,female,4,standard,completed,68,78,84
884,male,2,standard,completed,77,76,77
131,male,0,standard,completed,66,70,64
34,female,4,standard,completed,79,88,89
462,female,2,free/reduced,completed,28,44,50
849,female,4,free/reduced,completed,57,70,68
863,male,2,standard,none,68,71,63
19,male,2,free/reduced,none,39,32,31
846,female,3,free/reduced,completed,41,56,53
803,male,2,standard,none,53,48,48
435,female,1,standard,none,83,87,83
636,male,4,free/reduced,none,63,56,56
838,male,3,free/reduced,completed,67,70,70
96,female,3,standard,completed,95,100,100
111,female,1,standard,none,41,52,47
621,female,2,free/reduced,none,38,47,52
397,female,3,standard,completed,70,80,86
949,female,1,standard,none,54,60,65
633,male,0,free/reduced,none,51,57,53
461,male,1,free/reduced,completed,49,44,41
252,male,1,standard,none,67,63,61
228,female,0,standard,none,76,80,81
283,male,2,free/reduced,none,40,42,39
356,female,0,free/reduced,completed,48,71,68
756,female,5,standard,none,83,88,93
854,male,4,standard,completed,98,94,95
136,male,2,standard,completed,73,81,76
905,male,3,standard,completed,68,82,77
246,female,1,free/reduced,completed,40,52,42
112,female,5,standard,none,63,82,71
255,female,1,standard,none,53,66,59
150,female,2,standard,completed,67,78,80
819,female,2,free/reduced,none,57,75,70
504,female,0,free/reduced,completed,43,48,53
742,female,2,standard,none,85,90,84
86,female,2,free/reduced,none,63,76,69
772,female,3,standard,completed,72,76,78
379,female,2,standard,none,80,90,90
406,male,2,standard,none,94,92,85
614,female,0,standard,none,57,74,64
8,male,0,standard,none,63,56,65
106,male,0,standard,none,82,74,73
6,female,4,standard,none,62,59,63
690,male,4,standard,completed,94,92,92
460,male,2,free/reduced,completed,56,67,56
691,female,3,free/reduced,none,68,84,80
339,female,0,standard,completed,70,73,80
568,male,0,free/reduced,none,29,38,27
39,male,3,standard,none,98,81,77
640,male,4,standard,none,87,87,84
315,female,3,standard,completed,85,87,94
311,female,1,standard,none,36,57,53
472,female,3,standard,none,66,73,68
680,male,3,free/reduced,none,57,49,48
716,female,2,standard,completed,82,86,90
78,male,3,standard,none,78,73,76
400,male,2,standard,completed,74,73,75
395,female,1,standard,none,64,78,83
18,female,3,free/reduced,none,23,44,44
135,male,1,free/reduced,none,73,78,69
572,male,3,free/reduced,none,56,50,43
665,female,1,standard,none,64,70,73
945,male,2,free/reduced,none,63,61,55
873,male,4,standard,none,71,57,60
661,female,0,free/reduced,none,53,65,69
569,female,2,standard,none,70,73,66
192,male,1,free/reduced,none,68,62,61
714,female,1,standard,completed,64,74,75
582,female,4,standard,completed,52,69,75
632,male,4,free/reduced,none,58,64,54
407,female,3,standard,completed,54,64,68
354,female,0,standard,none,65,75,68
773,male,0,standard,none,85,85,76
985,male,3,standard,none,74,73,67
124,female,3,standard,none,74,78,86
225,male,1,standard,none,82,69,72
670,male,0,standard,none,49,43,35
42,male,0,standard,completed,87,79,82
221,male,3,standard,completed,65,69,74
164,male,4,standard,completed,66,72,70
89,male,0,standard,none,72,76,72
932,male,0,free/reduced,completed,75,80,75
793,male,2,free/reduced,completed,62,68,71
718,female,1,free/reduced,completed,51,64,62
752,male,0,standard,none,70,62,61
710,female,0,standard,none,56,64,59
264,male,1,standard,completed,90,82,88
689,male,2,free/reduced,none,36,27,26
555,female,4,free/reduced,none,37,53,48
286,female,0,standard,none,82,89,84
317,male,2,standard,none,86,83,81
642,male,5,free/reduced,completed,69,66,65
527,female,2,standard,completed,89,92,97
201,male,3,standard,none,55,54,47
887,female,3,free/reduced,completed,53,74,75
227,female,4,free/reduced,none,61,71,73
196,male,4,standard,none,50,46,48
458,male,2,free/reduced,completed,63,69,59
109,male,2,free/reduced,none,30,33,33
581,male,2,free/reduced,none,69,72,68
4,male,3,standard,completed,78,73,68
211,male,3,standard,none,97,88,85
210,female,0,free/reduced,completed,61,69,68
697,male,3,standard,none,90,76,73
770,male,1,free/reduced,none,76,73,68
607,male,3,free/reduced,none,72,72,65
325,female,1,standard,none,62,65,64
971,male,1,standard,none,64,51,44
570,male,3,free/reduced,none,67,64,60
563,female,1,free/reduced,completed,58,62,66
365,female,3,standard,none,60,64,67
649,female,0,free/reduced,none,30,43,40
113,male,4,free/reduced,none,43,34,33
528,male,3,free/reduced,completed,48,61,59
194,female,4,standard,none,64,64,66
250,female,2,free/reduced,none,53,70,71
666,female,2,standard,completed,67,81,89
321,female,2,free/reduced,completed,59,83,81
38,female,2,free/reduced,completed,58,68,73
747,female,0,standard,none,77,91,87
348,female,2,free/reduced,completed,46,58,64
982,male,5,free/reduced,completed,69,79,72
123,female,1,standard,completed,41,43,45
698,male,2,free/reduced,completed,71,82,75
552,female,5,free/reduced,completed,92,100,98
585,male,0,standard,completed,53,59,64
702,male,0,standard,none,85,70,71
880,female,2,free/reduced,completed,65,76,72
964,male,4,standard,none,100,83,86
324,male,1,standard,none,87,84,80
256,male,4,standard,none,80,78,74
709,male,1,standard,none,80,70,60
574,female,0,free/reduced,completed,47,54,56
740,male,2,standard,none,52,53,51
469,male,2,standard,none,73,51,53
375,male,0,free/reduced,none,73,75,64
342,male,3,free/reduced,none,61,62,54
674,male,5,standard,none,63,56,60
654,female,3,standard,none,54,60,56
54,male,0,free/reduced,none,57,57,47
398,male,4,standard,completed,90,73,83
373,male,2,free/reduced,completed,59,53,56
160,female,3,standard,completed,84,98,97
508,male,2,standard,none,69,56,57
498,male,4,standard,completed,86,92,93
701,male,1,standard,completed,43,37,43
30,male,2,standard,none,87,79,77
812,male,3,standard,none,65,62,63
538,female,0,standard,none,66,73,72
456,male,2,standard,completed,89,87,89
301,male,1,free/reduced,none,48,39,40
798,male,2,standard,none,56,55,50
233,male,2,standard,none,76,74,72
436,male,1,standard,none,68,74,69
610,male,3,free/reduced,none,58,53,54
149,male,3,free/reduced,none,46,44,44
430,male,4,standard,none,82,83,85
660,female,0,standard,completed,90,89,97
185,female,5,standard,none,91,100,99
707,female,0,standard,none,92,86,82
535,female,4,free/reduced,none,82,87,90
867,female,4,free/reduced,none,59,85,82
589,female,0,free/reduced,none,52,72,71
360,female,2,free/reduced,none,66,90,83
609,male,1,standard,none,89,73,70
104,female,2,standard,none,47,58,58
16,male,0,standard,none,58,47,42
980,female,1,free/reduced,none,39,50,49
485,male,5,standard,none,93,96,96
919,female,3,standard,none,83,78,79
823,male,5,standard,none,70,66,65
442,male,1,free/reduced,completed,75,70,61
173,male,1,free/reduced,completed,69,64,62
74,male,5,free/reduced,none,71,76,67
969,male,0,standard,none,67,57,52
423,male,3,standard,none,77,73,74
478,male,2,free/reduced,completed,68,73,68
938,male,0,free/reduced,none,45,33,32
596,female,0,free/reduced,completed,75,85,90
290,male,3,standard,none,78,74,76
999,male,2,standard,completed,65,60,62
419,female,1,free/reduced,none,38,46,33
25,male,0,free/reduced,none,51,45,42
941,female,2,standard,none,74,75,79
694,male,2,standard,completed,96,95,90
470,female,2,standard,none,91,94,96
424,male,0,standard,none,40,39,30
193,female,3,standard,completed,77,91,89
180,female,1,standard,none,51,62,64
99,male,3,standard,none,60,54,53
7,male,2,standard,completed,93,88,84
355,female,3,standard,none,50,54,51
140,male,3,free/reduced,none,68,63,57
695,male,1,standard,completed,68,63,62
830,male,5,free/reduced,none,38,40,41
385,female,1,free/reduced,none,80,86,87
303,male,2,standard,none,73,68,66
69,female,0,standard,none,60,64,57
368,female,1,free/reduced,none,57,64,60
441,female,5,standard,completed,86,100,100
540,male,3,standard,completed,75,74,76
713,female,5,standard,none,59,57,58
341,male,1,free/reduced,none,52,53,47
133,male,3,standard,none,62,55,56
438,male,3,standard,none,91,88,90
741,female,4,standard,completed,62,65,67
421,male,1,standard,none,76,71,70
229,male,3,free/reduced,completed,94,83,82
911,female,3,standard,none,52,64,55
768,male,2,free/reduced,none,49,48,42
594,female,2,standard,none,56,63,62
542,female,2,free/reduced,none,82,88,86
58,female,2,free/reduced,none,42,61,51
214,female,1,standard,completed,64,80,77
899,male,1,free/reduced,none,45,31,27
737,male,3,standard,none,83,82,81
427,male,3,standard,none,83,70,73
22,male,2,standard,completed,71,69,73
677,female,0,standard,none,70,72,75
391,female,0,free/reduced,none,47,56,51
957,male,4,free/reduced,none,73,52,54
951,male,4,standard,completed,77,70,78
974,female,1,standard,none,59,59,58
755,female,0,standard,none,66,84,77
244,male,1,standard,none,36,34,28
68,male,0,standard,none,79,64,60
782,female,4,standard,none,84,87,92
114,male,0,standard,none,77,76,74
864,female,0,free/reduced,completed,66,78,77
791,female,0,standard,completed,52,65,71
405,male,3,standard,none,74,61,56
816,female,3,standard,completed,94,99,100
700,male,1,free/reduced,none,41,39,34
655,male,3,standard,completed,76,83,78
186,male,0,standard,none,76,77,67
429,male,2,standard,completed,88,78,76
825,male,3,standard,completed,100,100,100
471,male,2,standard,none,80,87,79
141,female,2,free/reduced,none,65,77,83
1,female,1,free/reduced,none,40,59,55
115,male,3,standard,completed,76,79,76
935,male,1,standard,none,91,77,72
641,male,0,standard,none,73,72,69
76,female,2,standard,none,47,63,59
151,female,0,free/reduced,none,54,67,59
907,male,0,standard,none,66,67,64
530,female,2,standard,none,88,100,88
446,male,2,free/reduced,none,83,76,71
509,female,0,standard,none,65,70,72
573,female,2,free/reduced,none,61,79,76
3,male,0,standard,none,77,78,68
881,male,5,standard,none,99,81,87
51,female,1,free/reduced,none,52,58,60
110,female,2,standard,completed,79,88,86
634,female,5,standard,completed,100,100,100
936,female,1,standard,completed,33,44,50
358,male,1,free/reduced,completed,71,74,68
29,female,1,free/reduced,none,33,54,51
422,male,2,free/reduced,none,45,45,38
